楼盘名称,租赁方式,户型,面积,朝向,房租,更新时间,采集时间,城市,区域,街道或片区,地段,地址,公交站,主图链接,楼盘详情链接,页面网址,标签
,,,,,,,2018-11-02 21:40:26,北京,朝阳,安贞,,,,,,http://zu.fang.com/house-a01-b01121/,
北三环 8.10号线 安贞门站 南北精装大两居 全套家具家电,整租,2室1厅,65㎡,朝南,7100元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419187405_1.htm,http://zu.fang.com/house-a01-b01121/,独门独卫/全装全配/首次出租
"精装主卧带阳台,高楼层视野好采光好!照片实景拍摄!",合租主卧,2户合租,20㎡,朝南,3700元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,外馆东街50号院,朝阳-安贞-外馆东街50号院,距8号线安德里北街站约922米，距安贞桥北公交站约850米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419178392_1.htm,http://zu.fang.com/house-a01-b01121/,
和平街十四区 煤炭大厦 和平里北街 青年沟路 13,整租,2室1厅,47㎡,朝南,7900元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419344390_1.htm,http://zu.fang.com/house-a01-b01121/,
北三环 10号线 安贞门站 环宇荟 精装双南 电梯二居,整租,2室1厅,68㎡,朝南,7600元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419438185_1.htm,http://zu.fang.com/house-a01-b01121/,采光好/全装全配/首次出租
安贞 安华西里一区18号楼 广济旁边 木偶剧院 两居室,整租,2室1厅,65㎡,朝南,6900元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419355751_1.htm,http://zu.fang.com/house-a01-b01121/,全装全配/南北通透/采光好
安贞门 安贞里一区 精装修两居室 随时看房 欢迎来电,整租,2室1厅,54㎡,朝南,8000元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419458314_1.htm,http://zu.fang.com/house-a01-b01121/,
城市出品 精装一居室 业主直租 看房提前预约 五号线,整租,1室1厅,60㎡,朝南,7200元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,城市出品,朝阳-安贞-城市出品,距5号线和平西桥站约549米，距安贞桥北公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419438275_1.htm,http://zu.fang.com/house-a01-b01121/,南北通透/全装全配/首次出租
安贞安华精装修二居 2层南北通透 家具家电齐全 室内如图 值,整租,2室1厅,58㎡,朝南,6800元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419180577_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/采光好/全装全配
安贞 安华西里一区一居室出租 朝南采光好 户型棒 安华桥 8号线,整租,1室1厅,48㎡,朝南,4900元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417206336_1.htm,http://zu.fang.com/house-a01-b01121/,采光好/交通便利/周边配套齐
(可宿舍)安贞地铁 安贞医院 化信大厦 安贞里一区两居室,整租,2室1厅,65㎡,朝西,6500元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419430117_1.htm,http://zu.fang.com/house-a01-b01121/,
"精装两居次卧,可签一年,看房随时,有钥匙,随时入住。",合租次卧,2户合租,12㎡,朝北,2800元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418871225_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/周边配套齐
胜古南里出租精装两居室 和平西桥 金基业大厦 环球贸易中心,整租,2室1厅,71㎡,朝南,6600元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,胜古南里,朝阳-安贞-胜古南里,距5号线和平西桥站约465米，距安贞桥北公交站约706米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419237073_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/周边配套齐/采光好
胜古馨园 豪华4室2厅3卫 房东诚意出租 带地下车位,整租,4室2厅,215㎡,朝南,23000元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,胜古馨园,朝阳-安贞-胜古馨园,距5号线和平西桥站约552米，距安贞桥北公交站约651米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419293369_1.htm,http://zu.fang.com/house-a01-b01121/,全装全配/南北通透/首次出租
中装温馨大一居带客厅 有电梯 看房有钥匙,整租,1室1厅,48㎡,朝西,6200元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419345342_1.htm,http://zu.fang.com/house-a01-b01121/,采光好/全装全配
安华西里一区 口8号线 边上精装两居室,整租,2室1厅,65㎡,朝南,6800元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417358146_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/周边配套齐/全装全配
"安贞里三区两居室,精装修,业主直租,新上房源,看房随时",整租,2室1厅,65㎡,朝南,7300元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419187150_1.htm,http://zu.fang.com/house-a01-b01121/,全装全配/独门独卫/首次出租
安化路 安华里五区 精装主卧带阳台 物业取暖 随时看房,合租主卧,4户合租,30㎡,朝南,3400元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419412514_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/全装全配/周边配套齐
安华桥 安华西里双南向 电梯两居室 实景拍摄 有视频,整租,2室1厅,62㎡,朝南,7800元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419457630_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/全装全配/周边配套齐
胜古誉园 精装两居 双卫 14年新小区 欧式风格 物业管理好,整租,2室1厅,115㎡,朝南,13500元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,胜古誉园,朝阳-安贞-胜古誉园,距10号线安贞门站约659米，距安贞桥北公交站约483米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419311229_1.htm,http://zu.fang.com/house-a01-b01121/,全装全配/南北通透/首次出租
北三环 惠新西街南口 国典华园 温馨大二居 全套家具家电,整租,2室2厅,105㎡,朝东,11500元/月,,2018-11-02 21:40:27,北京,朝阳,安贞,国典华园,朝阳-安贞-国典华园,距10号线安贞门站约581米，距安贞桥北公交站约763米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419187429_1.htm,http://zu.fang.com/house-a01-b01121/,首次出租/南北通透/全装全配
出租环球贸易中心 长新大厦 金隅股份 中色股份 环宇荟 附近主卧,合租主卧,4户合租,18㎡,朝南,3100元/月,,2018-11-02 21:40:33,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419253002_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/全装全配
朝阳区 安贞门 安贞桥 安华西里 木偶剧院 温馨精装次卧室出租,合租次卧,3户合租,78㎡,朝南,2499元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418832231_1.htm,http://zu.fang.com/house-a01-b01121/i32/,首次出租/采光好/交通便利
8号线附近精装南北通透 两居室 出租 6900/月,整租,2室1厅,60㎡,朝南,6900元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417914542_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/全装全配/南北通透
10号线安贞门地铁 北中医三院 小关街 精装修大单间出租朝南,合租单间,3户合租,80㎡,朝南,2000元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418245124_1.htm,http://zu.fang.com/house-a01-b01121/i32/,周边配套齐/全装全配/南北通透
和平街十四区 煤炭大厦 和平里北街 青年沟路 13,整租,2室1厅,47㎡,朝南,7900元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419344390_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
胜古誉园 国典华园 胜古馨园 14年新房看房联系,整租,3室2厅,120㎡,朝东,17000元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,胜古誉园,朝阳-安贞-胜古誉园,距10号线安贞门站约659米，距安贞桥北公交站约483米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418912128_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
安华桥8号线附近 两居室出租 随时入住,整租,2室1厅,60㎡,朝南,6600元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417053035_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/南北通透/周边配套齐
北三环 安华桥 安贞里 安华西里 温馨大一居,整租,1室1厅,43㎡,朝东,6400元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419427452_1.htm,http://zu.fang.com/house-a01-b01121/i32/,周边配套齐/采光好/全装全配
安华里五区 南北通透 精装两居室出租,整租,2室1厅,65㎡,朝南,7500元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_416983978_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/南北通透
安贞医院 地铁北土城 华联商厦 环宇荟 安贞西里二区一居,整租,1室1厅,45㎡,朝南,5000元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419430286_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
,,,,,,,2018-11-02 21:40:34,北京,朝阳,安贞,,,,,,http://zu.fang.com/house-a01-b01121/i32/,
安定门 安华里社区 环球贸易 柳荫公园 三居室次卧都是女孩,合租主卧,3户合租,10㎡,朝东,2300元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419301802_1.htm,http://zu.fang.com/house-a01-b01121/i32/,采光好/周边配套齐/全装全配
(可宿舍)安贞地铁 安贞医院 化信大厦 安贞里一区两居室,整租,2室1厅,65㎡,朝西,6500元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419430117_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
安贞里四区三家合住次卧,合租主卧,2户合租,12㎡,朝西,3200元/月,,2018-11-02 21:40:34,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419420141_1.htm,http://zu.fang.com/house-a01-b01121/i32/,周边配套齐/采光好/全装全配
国典华园 北3环 安贞门 安贞桥 环宇荟 精装大客厅 2居室,整租,2室1厅,124㎡,朝南,11300元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,国典华园,朝阳-安贞-国典华园,距10号线安贞门站约581米，距安贞桥北公交站约763米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419458239_1.htm,http://zu.fang.com/house-a01-b01121/i32/,首次出租/交通便利/全装全配
"胜古家园带客厅精装大两居,元大都和安贞门站",整租,2室1厅,75㎡,朝东,7300元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,胜古家园,朝阳-安贞-胜古家园,距5号线和平西桥站约518米，距安贞桥北公交站约484米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419408678_1.htm,http://zu.fang.com/house-a01-b01121/i32/,首次出租/全装全配/交通便利
安贞桥 环球贸易大厦 木偶剧院 安华里三区精装次卧,合租次卧,3户合租,15㎡,朝东,1600元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419458073_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/采光好
"和平街十四区精装两居,随时看房",整租,2室1厅,65㎡,朝南,6600元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417913146_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/采光好
10号线 安贞门 国典华园朝南 一室一厅 楼下元大都公园,整租,1室1厅,80㎡,朝南,9000元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,国典华园,朝阳-安贞-国典华园,距10号线安贞门站约581米，距安贞桥北公交站约763米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419438790_1.htm,http://zu.fang.com/house-a01-b01121/i32/,首次出租/南北通透/全装全配
"精装南北通透大客厅一居,照片实景,外馆西街,可租10个月!",整租,1室1厅,48㎡,朝南,6100元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,外馆西街小区,朝阳-安贞-外馆西街小区,距8号线安华桥站约645米，距安华桥南公交站约545米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417684844_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/采光好
"安贞西里一居室,新上房源,婚房装修,业主直租,看房随时",整租,1室1厅,45㎡,朝南,5900元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419185953_1.htm,http://zu.fang.com/house-a01-b01121/i32/,首次出租/全装全配/周边配套齐
安贞西里 精装三居室 下楼就是安华桥站 看房随时,整租,3室1厅,85㎡,朝南,9500元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419389533_1.htm,http://zu.fang.com/house-a01-b01121/i32/,全装全配/周边配套齐/首次出租
胜古家园 有房出租,整租,1室1厅,58㎡,朝东,7600元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,胜古家园,朝阳-安贞-胜古家园,距5号线和平西桥站约518米，距安贞桥北公交站约484米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419451925_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
安贞门 安贞里一区 精装修两居室 随时看房 欢迎来电,整租,2室1厅,54㎡,朝南,8000元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419458314_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
惠新 安贞豪装三居室 南北通透业主直租,整租,3室2厅,170㎡,朝南,18000元/月,,2018-11-02 21:40:35,北京,朝阳,安贞,国典华园,朝阳-安贞-国典华园,距10号线安贞门站约581米，距安贞桥北公交站约763米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418912156_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
国典华园 胜古誉园 安贞门 环宇荟,整租,3室1厅,120㎡,朝南,16800元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,胜古誉园,朝阳-安贞-胜古誉园,距10号线安贞门站约659米，距安贞桥北公交站约483米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419425920_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
"家具家电全齐,南向7200元/月,拎包即住!",整租,2室1厅,55㎡,朝南,7000元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,皇姑坟,朝阳-安贞-皇姑坟,距10号线安贞门站约731米，距安贞桥北公交站约427米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419175713_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利
安华桥 地铁口 精装两居室,整租,2室1厅,60㎡,朝南,7200元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,黄寺大街后身36号院,朝阳-安贞-黄寺大街后身36号院,距8号线安华桥站约365米，距安华桥南公交站约308米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418777656_1.htm,http://zu.fang.com/house-a01-b01121/i32/,
北三环 惠新西街南口 南北双阳台大两居室,整租,2室1厅,78㎡,朝南,7500元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,胜古北里,朝阳-安贞-胜古北里,距5号线惠新西街南口站约345米，距安贞桥北公交站约926米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419466102_1.htm,http://zu.fang.com/house-a01-b01121/i32/,全装全配/南北通透/首次出租
北三环 安贞里带电梯双南大两居 相寓风格装修 看房随时,整租,2室1厅,60㎡,朝南,7000元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419470853_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐/全装全配
"和平里北街地铁站,171附近,随时看房,拎包入住 真实照片 舒服",整租,2室1厅,47㎡,朝南,7900元/月,,2018-11-02 21:40:36,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418297393_1.htm,http://zu.fang.com/house-a01-b01121/i32/,交通便利/周边配套齐
开元国际 胜古北里低价两居室,整租,2室1厅,58㎡,朝东,6000元/月,,2018-11-02 21:40:42,北京,朝阳,安贞,胜古北里,朝阳-安贞-胜古北里,距5号线惠新西街南口站约345米，距安贞桥北公交站约926米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419466038_1.htm,http://zu.fang.com/house-a01-b01121/i33/,全装全配/周边配套齐
和平街十四区精装两居。随时看房,整租,2室1厅,65㎡,朝南,6600元/月,,2018-11-02 21:40:42,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417912930_1.htm,http://zu.fang.com/house-a01-b01121/i33/,交通便利/周边配套齐/采光好
胜古家园环贸 一居室 精装修 朝南 200米 拎包住,整租,1室1厅,75㎡,朝南,7500元/月,,2018-11-02 21:40:42,北京,朝阳,安贞,胜古家园,朝阳-安贞-胜古家园,距5号线和平西桥站约518米，距安贞桥北公交站约484米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419186749_1.htm,http://zu.fang.com/house-a01-b01121/i33/,交通便利/全装全配
"和平街十四区精装两居,交通便利随时看房",整租,2室1厅,65㎡,朝南,6600元/月,,2018-11-02 21:40:42,北京,朝阳,安贞,和平街十四区,朝阳-安贞-和平街十四区,距13号线柳芳站约682米，距地铁柳芳站公交站约542米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417913720_1.htm,http://zu.fang.com/house-a01-b01121/i33/,
